序号,省份,博物馆名称,性质,质量等级,是否免费开放,藏品数（件/套）,珍贵文物（件/套）,展览（个）,教育活动（次）,参观人数（万人次）
5186,陕西省,南郑谷林博物馆,非国有博物馆,未定级,是,318,0,1,0,0.13
5187,陕西省,宁强县博物馆,文化文物系统国有博物馆,未定级,是,3960,101,12,16,12
5188,陕西省,平利县秦楚农耕博物馆,非国有博物馆,未定级,是,203,0,1,3,1.85
5189,陕西省,蒲城县博物馆,文化文物系统国有博物馆,三级,是,4730,522,5,22,19.5839
5190,陕西省,蒲城县惠陵文物管理所（惠陵博物馆）,文化文物系统国有博物馆,未定级,否,43,14,1,26,0.7831
5191,陕西省,蒲城县李仪祉纪念馆,非国有博物馆,未定级,是,304,0,1,2,0.115
5192,陕西省,蒲城县清代考院博物馆,文化文物系统国有博物馆,未定级,否,1049,99,2,41,17.2508
5193,陕西省,蒲城县税收博物馆,其他行业国有博物馆,未定级,是,219,0,2,30,0.7638
5194,陕西省,蒲城县王鼎纪念馆,文化文物系统国有博物馆,未定级,是,49,29,6,8,12.15
5195,陕西省,蒲城县杨虎城将军纪念馆,文化文物系统国有博物馆,未定级,是,144,25,2,15,24.5939
5196,陕西省,岐山县博物馆,文化文物系统国有博物馆,未定级,是,6475,575,2,5,0.116
5197,陕西省,岐山县五丈原诸葛亮庙博物馆,文化文物系统国有博物馆,未定级,否,0,0,2,0,10.71
5198,陕西省,岐山县周原博物馆,文化文物系统国有博物馆,未定级,是,1546,355,1,5,0.2306
5199,陕西省,乾陵博物馆,文化文物系统国有博物馆,一级,否,3625,1741,14,125,116.2
5200,陕西省,乾县人文历史博物馆,文化文物系统国有博物馆,未定级,是,428,18,2,20,6.3
5201,陕西省,秦都古陶博物馆,非国有博物馆,未定级,是,487,0,9,7,2.3
5202,陕西省,秦都红色记忆博物馆,非国有博物馆,未定级,是,470,0,4,30,1.3
5203,陕西省,秦都厚天博物馆,非国有博物馆,未定级,是,860,0,4,16,6.8951
5204,陕西省,秦二世陵遗址博物馆,其他行业国有博物馆,未定级,是,124,60,1,2,4.5446
5205,陕西省,秦岭博物馆 商洛市博物馆(市考古队),文化文物系统国有博物馆,三级,是,6151,190,5,64,48.2
5206,陕西省,秦始皇帝陵博物院（秦始皇兵马俑博物馆）,文化文物系统国有博物馆,一级,否,7613,2199,15,165,1161.0408
5207,陕西省,秦咸阳宫遗址博物馆,文化文物系统国有博物馆,未定级,是,800,132,2,60,2.2
5208,陕西省,清涧县博物馆,文化文物系统国有博物馆,未定级,是,15300,374,1,3,1.5961
5209,陕西省,三原县博物馆,文化文物系统国有博物馆,三级,否,2833,581,9,18,32
5210,陕西省,三原县周家大院民俗博物馆,文化文物系统国有博物馆,未定级,否,197,0,1,4,8.2705
5211,陕西省,山阳县博物馆,文化文物系统国有博物馆,未定级,是,1153,44,2,5,7.2
5212,陕西省,陕北民歌博物馆,文化文物系统国有博物馆,未定级,是,6446,0,2,4,18.1099
5213,陕西省,陕北民俗博物馆,文化文物系统国有博物馆,未定级,是,7282,0,15,2,12.2518
5214,陕西省,陕甘边革命根据地照金纪念馆,其他行业国有博物馆,一级,是,4006,41,9,83,82.1
5215,陕西省,陕甘宁边区革命英烈纪念馆（延安四八烈士陵园管理处）,其他行业国有博物馆,未定级,是,96,0,1,0,3.792
5216,陕西省,陕甘宁边区银行纪念馆,其他行业国有博物馆,未定级,是,505,207,1,44,2.3
5217,陕西省,陕西观止文化艺术博物馆,非国有博物馆,未定级,是,20000,0,3,14,2.3
5218,陕西省,陕西汉唐石刻博物馆,非国有博物馆,三级,否,1130,0,13,55,8.9479
5219,陕西省,陕西华厦古代艺术博物馆,非国有博物馆,未定级,是,919,0,6,3,2.5
5220,陕西省,陕西黄河文化博物馆,文化文物系统国有博物馆,未定级,是,1896,190,5,52,36.8651
5221,陕西省,陕西考古博物馆,文化文物系统国有博物馆,未定级,是,4101,1964,2,49,63.855
5222,陕西省,陕西科技大学轻工业博物馆,其他行业国有博物馆,三级,是,8731,0,6,17,2.359
5223,陕西省,陕西科学技术馆,其他行业国有博物馆,未定级,是,110,0,3,287,28.6939
5224,陕西省,陕西历史博物馆,文化文物系统国有博物馆,一级,是,110449,20823,16,645,495.3274
5225,陕西省,陕西亮宝楼艺术博物馆,非国有博物馆,未定级,是,3038,0,55,40,9.1251
5226,陕西省,陕西钱币博物馆,其他行业国有博物馆,未定级,是,42888,0,0,0,0
5227,陕西省,陕西三原于右任纪念馆,文化文物系统国有博物馆,未定级,是,349,0,4,4,10.4979
5228,陕西省,陕西省留坝县张良庙博物馆,文化文物系统国有博物馆,未定级,否,187,28,5,10,16.7865
5229,陕西省,陕西省勉县博物馆,文化文物系统国有博物馆,未定级,是,2496,0,1,9,2.19
5230,陕西省,陕西省蒲城县林则徐纪念馆,非国有博物馆,未定级,否,305,0,6,50,4.2
5231,陕西省,陕西师范大学博物馆,其他行业国有博物馆,未定级,是,3836,82,8,13,2.1
5232,陕西省,陕西水利博物馆,其他行业国有博物馆,三级,是,742,3,7,12,9.1
5233,陕西省,陕西司马迁史记博物馆,非国有博物馆,未定级,是,710,2,3,0,0.1
5234,陕西省,陕西唐三彩艺术博物馆,非国有博物馆,二级,否,1321,0,6,38,13.5807
5235,陕西省,陕西体育博物馆,其他行业国有博物馆,未定级,是,2631,1,2,40,0.3748
5236,陕西省,陕西万达博物院,非国有博物馆,未定级,是,1224,0,2,0,2.0247
5237,陕西省,陕西榆林尚古博物馆,非国有博物馆,未定级,是,505,0,3,0,0
5238,陕西省,陕西元阳文化博物馆,非国有博物馆,未定级,是,360,0,0,0,0
5239,陕西省,陕西中医药博物馆,其他行业国有博物馆,二级,是,26623,75,9,8,4.5
5240,陕西省,陕西自然博物馆,其他行业国有博物馆,一级,否,24020,0,20,972,127.7975
5241,陕西省,商洛市商州区博物馆,文化文物系统国有博物馆,未定级,否,5478,384,0,0,0
5242,陕西省,商南县博物馆,文化文物系统国有博物馆,未定级,是,404,14,3,6,1.41
5243,陕西省,神木古麟州博物馆,非国有博物馆,未定级,是,7000,0,3,0,0.108
5244,陕西省,神木锦界红色记忆博物馆,非国有博物馆,未定级,是,545,0,4,3,3.58
5245,陕西省,神木乔岔滩博物馆,非国有博物馆,未定级,是,508,0,3,5,1.2
5246,陕西省,神木市公共文化活动中心（神木市博物馆、神木展览馆）,文化文物系统国有博物馆,未定级,是,10717,1226,4,63,7.4
5247,陕西省,神木市神府革命纪念馆,其他行业国有博物馆,未定级,是,581,0,2,13,2.4
5248,陕西省,石泉县博物馆,文化文物系统国有博物馆,未定级,是,439,41,1,20,5.3653
5249,陕西省,苏武纪念馆,文化文物系统国有博物馆,未定级,是,11,0,4,310,18.1
5250,陕西省,绥德革命纪念馆,其他行业国有博物馆,二级,是,828,0,8,22,28
5251,陕西省,绥德县博物馆,文化文物系统国有博物馆,三级,是,4413,803,5,10,10.8
5252,陕西省,铜川博物馆（铜川市考古研究所）,文化文物系统国有博物馆,二级,是,6357,536,9,83,16.7324
5253,陕西省,铜川市陈炉古镇生态博物馆,文化文物系统国有博物馆,未定级,是,0,0,1,6,54.3
5254,陕西省,铜川市玄奘纪念馆,文化文物系统国有博物馆,三级,否,237,103,2,9,2.85
5255,陕西省,铜川市耀州区博物馆,文化文物系统国有博物馆,未定级,是,2300,344,4,7,1.2239
5256,陕西省,潼关酱菜博物馆,非国有博物馆,未定级,是,400,0,2,0,2.68
5257,陕西省,潼关交通博物馆,其他行业国有博物馆,未定级,是,146,0,6,0,2.65
5258,陕西省,潼关县博物馆,文化文物系统国有博物馆,三级,是,1717,64,3,7,17.8
5259,陕西省,潼关县秦王寨历史博物馆,非国有博物馆,未定级,是,702,0,2,0,4.117
5260,陕西省,瓦窑堡革命旧址纪念馆,文化文物系统国有博物馆,未定级,是,520,187,8,60,5.5248
5261,陕西省,渭华起义纪念馆,文化文物系统国有博物馆,未定级,是,176,151,5,246,17
5262,陕西省,渭南市博物馆,文化文物系统国有博物馆,二级,是,3461,9,6,212,25.6644
5263,陕西省,渭南市华州区明清皮影博物馆,非国有博物馆,未定级,是,515,0,1,230,7.6
5264,陕西省,渭南市临渭区博物馆,文化文物系统国有博物馆,未定级,是,3104,113,3,16,1.893
5265,陕西省,渭南市临渭区孚道博物馆,非国有博物馆,未定级,是,310,0,1,0,1.5
5266,陕西省,吴起革命纪念馆,文化文物系统国有博物馆,未定级,是,1098,202,3,48,13
5267,陕西省,西安半坡博物馆,文化文物系统国有博物馆,一级,否,24446,4266,3,354,24.25
5268,陕西省,西安碑林博物馆,文化文物系统国有博物馆,一级,否,14568,2322,7,220,108.8999
5269,陕西省,西安博物院,文化文物系统国有博物馆,一级,是,114643,11749,7,107,296.7943
5270,陕西省,西安柴窑文化博物馆,非国有博物馆,未定级,是,1110,0,6,36,6.3656
5271,陕西省,西安浐灞生态区城建博物馆,其他行业国有博物馆,未定级,是,375,0,0,0,0
5272,陕西省,西安大华博物馆,其他行业国有博物馆,未定级,是,9341,0,3,60,9.0189
5273,陕西省,西安大唐西市博物馆,非国有博物馆,一级,是,22534,0,12,97,9.07
5274,陕西省,西安高陵奇石博物馆,非国有博物馆,未定级,是,560,0,6,31,5.6781
5275,陕西省,西安高陵钱币博物馆,非国有博物馆,未定级,是,11004,0,4,9,2.0113
5276,陕西省,西安工程大学纺织服装博物馆,其他行业国有博物馆,未定级,是,1500,0,1,0,0.3555
5277,陕西省,西安关中民俗艺术博物院,非国有博物馆,未定级,否,53820,0,3,246,18.162
5278,陕西省,西安海棠职业学院中医美容博物馆,非国有博物馆,未定级,是,636,0,2,15,2.123
5279,陕西省,西安汉风水务博物馆,其他行业国有博物馆,未定级,否,70,27,3,0,0.8389
5280,陕西省,西安户邑民间艺术博物馆,非国有博物馆,未定级,是,570,0,3,34,5.3776
5281,陕西省,西安皇家艺术博物馆,非国有博物馆,未定级,是,703,0,1,5,1.862
5282,陕西省,西安建筑科技大学贾平凹文学艺术馆,其他行业国有博物馆,未定级,是,15200,0,10,6,2.4
5283,陕西省,西安建筑科技大学音乐史博物馆,其他行业国有博物馆,未定级,是,925,0,0,0,0
5284,陕西省,西安健康博物馆,非国有博物馆,未定级,是,305,0,6,5,2.56
5285,陕西省,西安交通大学博物馆,其他行业国有博物馆,二级,是,4939,0,13,24,18.58
5286,陕西省,西安交通大学附属中学博物馆,非国有博物馆,未定级,是,377,13,2,50,0.212
5287,陕西省,西安锦业美术博物馆,非国有博物馆,未定级,是,310,0,11,16,2.9
5288,陕西省,西安经文牛文化陶瓷博物馆,非国有博物馆,未定级,否,1950,0,1,5,0.8965
5289,陕西省,西安毛泽东敬览馆,非国有博物馆,未定级,是,600,0,0,0,0
5290,陕西省,西安美都博物馆,非国有博物馆,未定级,是,1000,0,3,4,1.905
5291,陕西省,西安美术学院美术博物馆,其他行业国有博物馆,未定级,是,3231,0,7,12,1
5292,陕西省,西安秦砖汉瓦博物馆,非国有博物馆,二级,否,3075,0,7,218,6.9312
5293,陕西省,西安曲江富陶国际陶艺博物馆,非国有博物馆,未定级,是,1467,0,13,31,7.0577
5294,陕西省,西安曲江艺术博物馆,非国有博物馆,二级,否,1972,0,8,187,16.2131
5295,陕西省,西安市城市记忆博物馆,非国有博物馆,未定级,是,1000,0,3,4,2.3147
5296,陕西省,西安市城市影像博物馆,非国有博物馆,未定级,是,401,0,5,4,9.1085
5297,陕西省,西安市大唐青铜镜博物馆,非国有博物馆,未定级,是,600,0,6,12,2.3298
5298,陕西省,西安市大玉坊博物馆,非国有博物馆,未定级,是,100000,0,8,3,26.9635
5299,陕西省,西安市德江陶瓷模范标本博物馆,非国有博物馆,未定级,是,849,0,4,8,20.2337
5300,陕西省,西安市非物质文化遗产博物馆,其他行业国有博物馆,未定级,是,1973,0,6,15,5.58
5301,陕西省,西安市沣峪口老油坊博物馆,非国有博物馆,未定级,是,407,0,2,3,1.2002
5302,陕西省,西安市高家大院古典服饰博物馆,非国有博物馆,三级,是,324,0,8,35,15.3681
5303,陕西省,西安市高陵区博物馆,文化文物系统国有博物馆,未定级,是,448,32,6,11,5.79
5304,陕西省,西安市高陵区防震减灾科普馆,其他行业国有博物馆,未定级,是,56,0,1,2,0.08
5305,陕西省,西安市高陵区西北人民革命大学旧址博物馆,文化文物系统国有博物馆,未定级,是,500,0,1,0,2.6394
5306,陕西省,西安市高陵区祥顺博物馆,非国有博物馆,未定级,是,577,0,1,1,0.04
5307,陕西省,西安市镐金古金银铜器博物馆,非国有博物馆,未定级,否,302,0,4,3,0.95
5308,陕西省,西安市古琴博物馆,非国有博物馆,未定级,是,424,0,5,65,5.501
5309,陕西省,西安市古陶瓷博物馆,非国有博物馆,未定级,是,304,0,8,3,0.1473
5310,陕西省,西安市红色体育博物馆,非国有博物馆,未定级,是,677,0,1,5,1.072
5311,陕西省,西安市鄠邑区非物质文化遗产博物馆,其他行业国有博物馆,未定级,是,399,0,1,0,3.877
5312,陕西省,西安市鄠邑区钟楼博物馆,文化文物系统国有博物馆,未定级,是,5713,510,3,5,8.7916
5313,陕西省,西安市华夏匾额博物馆,非国有博物馆,未定级,是,300,0,2,36,3
5314,陕西省,西安市黄土画派美术博物馆,非国有博物馆,未定级,是,318,0,5,3,3.2198
5315,陕西省,西安市吉兆春皮肤医药博物馆,非国有博物馆,未定级,是,648,0,5,6,1.3
5316,陕西省,西安市蓝田玉文化博物馆,非国有博物馆,未定级,是,622,0,7,8,3.5
5317,陕西省,西安市临潼区扁鹊纪念馆,文化文物系统国有博物馆,未定级,是,375,0,3,39,3.9703
5318,陕西省,西安市临潼区博物馆,文化文物系统国有博物馆,三级,是,17709,1399,5,65,8.5887
5319,陕西省,西安市临潼区鸿门宴博物馆,文化文物系统国有博物馆,未定级,否,241,0,3,6,2.9787
5320,陕西省,西安市明清皮影艺术博物馆,非国有博物馆,未定级,否,300,0,1,60,2.7184
5321,陕西省,西安市起良蔡侯纸博物馆,非国有博物馆,未定级,是,630,0,2,204,5.6006
5322,陕西省,西安市荞麦园美术博物馆,非国有博物馆,未定级,是,546,1,0,0,0
5323,陕西省,西安市秦阿房宫遗址博物馆,文化文物系统国有博物馆,未定级,是,26,0,1,4,0.4548
5324,陕西省,西安市青龙寺遗址博物馆,文化文物系统国有博物馆,未定级,是,82,12,2,27,44.3326
5325,陕西省,西安市曲江第二小学儿童博物馆,其他行业国有博物馆,未定级,是,499,0,20,6,0.886
5326,陕西省,西安市曲江红色记忆博物馆,非国有博物馆,未定级,是,1109,0,2,50,3.29
5327,陕西省,西安市曲江丝路遗珍博物馆,非国有博物馆,未定级,是,724,0,4,0,0
5328,陕西省,西安市圣普美术博物馆,非国有博物馆,未定级,是,300,0,7,7,3.4309
5329,陕西省,西安市石仟佛造像艺术博物馆,非国有博物馆,未定级,否,301,0,1,0,0.0312
5330,陕西省,西安市水墨长安艺术博物馆,非国有博物馆,二级,是,1605,0,7,17,8.7232
5331,陕西省,西安市太和医室博物馆,非国有博物馆,未定级,是,442,0,1,0,0.72
5332,陕西省,西安市太乙面食文化博物馆,非国有博物馆,未定级,是,341,0,2,1,0.0274
5333,陕西省,西安市团结民俗博物馆,非国有博物馆,未定级,是,360,0,0,0,0
5334,陕西省,西安市惟德玉文化博物馆,非国有博物馆,未定级,是,300,0,6,25,4.1719
5335,陕西省,西安市文物交流中心（西安市民俗博物馆）,文化文物系统国有博物馆,未定级,是,306,0,2,15,6.3195
5336,陕西省,西安市新美域和镜博物馆,非国有博物馆,未定级,是,300,0,4,20,3.3369
5337,陕西省,西安市新梦想影业博物馆,非国有博物馆,未定级,是,1012,0,2,20,3.3323
5338,陕西省,西安市新源民俗艺术博物馆,非国有博物馆,未定级,是,305,0,5,27,3.6032
5339,陕西省,西安市羊文化博物馆,非国有博物馆,二级,是,672,0,2,37,13.3379
5340,陕西省,西安市瑛煌关中婚俗文化博物馆,非国有博物馆,未定级,是,322,0,8,6,13.57
5341,陕西省,西安市云之翼航空博物馆,非国有博物馆,未定级,否,518,0,7,162,7.0926
5342,陕西省,西安市长安博物馆,文化文物系统国有博物馆,未定级,是,2800,361,1,23,1.1715
5343,陕西省,西安市长安民居博物馆,文化文物系统国有博物馆,未定级,否,392,0,0,0,0
5344,陕西省,西安市长安区杜甫纪念馆,文化文物系统国有博物馆,未定级,是,314,10,5,4,4.0215
5345,陕西省,西安市钟鼓楼博物馆,文化文物系统国有博物馆,三级,否,521,184,6,67,270.1337
5346,陕西省,西安事变纪念馆,文化文物系统国有博物馆,二级,是,268,153,8,42,98.2842
5347,陕西省,西安唐都新碑林艺术博物馆,非国有博物馆,未定级,是,119,0,6,15,2.6116
5348,陕西省,西安唐皇城墙含光门遗址博物馆,其他行业国有博物馆,二级,否,1498,0,9,21,145.4944
5349,陕西省,西安音乐学院艺术博物馆,其他行业国有博物馆,未定级,是,591,0,4,5,0.526
5350,陕西省,西安于右任故居博物馆,非国有博物馆,未定级,否,300,0,2,0,1.362
5351,陕西省,西安于右任书法艺术博物馆,非国有博物馆,未定级,是,433,0,2,3,0.271
5352,陕西省,西安源浩华藏博物馆,非国有博物馆,未定级,是,354,0,1,0,0
5353,陕西省,西安中国书法艺术博物馆,其他行业国有博物馆,未定级,是,2243,76,11,49,1.9116
5354,陕西省,西北大学博物馆,其他行业国有博物馆,未定级,是,20430,133,9,15,6.4898
5355,陕西省,西北农林科技大学农林博物院,其他行业国有博物馆,二级,否,2106428,12360,10,38,17.2889
5356,陕西省,西咸新区空港新城楼增良木雕艺术博物馆,非国有博物馆,未定级,是,1000,0,5,3,0.9349
5357,陕西省,西影电影博物馆,其他行业国有博物馆,三级,否,756,0,11,639,19
5358,陕西省,西岳庙博物馆,文化文物系统国有博物馆,二级,否,2060,290,8,73,35.0366
5359,陕西省,咸阳博物院,文化文物系统国有博物馆,一级,是,11744,5310,26,142,60.7636
5360,陕西省,咸阳墙体材料博物馆,其他行业国有博物馆,未定级,是,370,0,1,0,0.023
5361,陕西省,咸阳秦渭博物馆,非国有博物馆,未定级,是,700,0,3,2,0.8
5362,陕西省,咸阳清渭楼美术博物馆,非国有博物馆,二级,是,1235,0,19,15,20.6623
5363,陕西省,咸阳市秦都区沙河古桥遗址博物馆,文化文物系统国有博物馆,未定级,是,0,0,0,0,0
5364,陕西省,兴平市博物馆,文化文物系统国有博物馆,未定级,是,2169,213,3,3,0.52
5365,陕西省,兴平市杨贵妃墓博物馆,文化文物系统国有博物馆,三级,否,162,30,0,0,0
5366,陕西省,旬阳市博物馆,文化文物系统国有博物馆,三级,是,2717,308,7,54,9.7388
5367,陕西省,旬阳县红军纪念馆,文化文物系统国有博物馆,未定级,是,52,0,7,150,41
5368,陕西省,旬邑起义纪念馆,其他行业国有博物馆,未定级,是,35,0,5,5,4.356
5369,陕西省,旬邑县博物馆,文化文物系统国有博物馆,未定级,是,6607,263,8,40,5.99
5370,陕西省,旬邑县唐家民俗博物馆,文化文物系统国有博物馆,未定级,否,724,60,4,12,8.6098
5371,陕西省,延安北京知青博物馆,文化文物系统国有博物馆,未定级,是,5264,0,1,18,4.6365
5372,陕西省,延安杜公祠博物馆,其他行业国有博物馆,未定级,否,548,0,1,1,0.1098
5373,陕西省,延安凤凰山革命旧址管理处（中国人民抗日军政大学纪念馆）,文化文物系统国有博物馆,未定级,是,833,8,2,0,26.8577
5374,陕西省,延安革命纪念馆,文化文物系统国有博物馆,一级,是,37261,11556,9,16,237.255
5375,陕西省,延安南泥湾革命旧址纪念馆,文化文物系统国有博物馆,未定级,是,705,10,1,35,56.6159
5376,陕西省,延安南区合作社纪念馆,其他行业国有博物馆,未定级,是,450,19,1,0,0
5377,陕西省,延安市安塞区文化文物馆,文化文物系统国有博物馆,未定级,是,857,299,3,1,3.417
5378,陕西省,延安王家坪革命旧址管理处,文化文物系统国有博物馆,未定级,是,0,0,2,14,21
5379,陕西省,延安文艺纪念馆,文化文物系统国有博物馆,二级,是,32564,1490,38,43,54.3
5380,陕西省,延安新闻纪念馆,文化文物系统国有博物馆,三级,是,337,181,4,17,4.4965
5381,陕西省,延安杨家岭革命旧址管理处,文化文物系统国有博物馆,未定级,是,116,14,22,22,163
5382,陕西省,延安枣园革命旧址管理处,文化文物系统国有博物馆,未定级,是,534,0,1,48,199.3782
5383,陕西省,延川红军东征纪念馆,文化文物系统国有博物馆,未定级,是,184,0,1,26,6.25
5384,陕西省,延长县红军东征纪念馆,文化文物系统国有博物馆,未定级,是,0,0,0,0,0
5385,陕西省,杨震廉政博物馆,文化文物系统国有博物馆,未定级,是,38,0,3,10,4.2
5386,陕西省,洋县文物博物馆,文化文物系统国有博物馆,未定级,否,9078,324,0,0,0
5387,陕西省,药王山博物馆（孙思邈纪念馆）,文化文物系统国有博物馆,二级,否,387,188,14,42,53.18
5388,陕西省,耀州窑博物馆,文化文物系统国有博物馆,二级,是,2523,1209,5,30,10.7515
5389,陕西省,宜川县文物管理所（宜川县博物馆）,文化文物系统国有博物馆,未定级,是,763,200,2,32,5.53
5390,陕西省,宜君旱作梯田农业生态博物馆,其他行业国有博物馆,未定级,是,3,0,1,0,4.5
5391,陕西省,宜君县博物馆,文化文物系统国有博物馆,未定级,是,530,104,1,9,5.6206
5392,陕西省,永寿县博物馆,文化文物系统国有博物馆,未定级,是,760,106,1,6,0.632
5393,陕西省,榆林上郡博物馆,非国有博物馆,未定级,是,5311,0,3,0,2.6
5394,陕西省,榆林市公共文化服务中心（余子俊纪念馆）,文化文物系统国有博物馆,未定级,是,0,0,3,51,1.3
5395,陕西省,榆林市公共文化服务中心（榆林民俗博物馆）,文化文物系统国有博物馆,未定级,是,3663,0,19,28,9.336
5396,陕西省,榆林市公共文化服务中心（榆林市汉画像石博物馆）,文化文物系统国有博物馆,未定级,是,256,129,4,12,1.2
5397,陕西省,榆林市横山区古银州博物馆,非国有博物馆,未定级,是,4376,0,5,0,0.88
5398,陕西省,榆林市榆阳区鬼鬼方方博物馆,非国有博物馆,未定级,是,510,0,6,1,2.15
5399,陕西省,榆林市榆阳区黄土地民俗博物馆,非国有博物馆,未定级,是,747,0,4,0,2.22
5400,陕西省,榆林市榆阳区农耕文化博物馆,非国有博物馆,未定级,是,310,0,1,1,0.12
5401,陕西省,榆林市榆阳区陶器博物馆,非国有博物馆,未定级,是,1041,0,5,0,1.21
5402,陕西省,榆林市长城保护中心镇北台长城博物馆,文化文物系统国有博物馆,未定级,是,19,0,1,32,17.6528
5403,陕西省,榆林朔方博物馆,非国有博物馆,未定级,是,1951,0,5,2,4.5627
5404,陕西省,榆林学院陕北历史文化博物馆,其他行业国有博物馆,未定级,是,526,97,2,4,0.1861
5405,陕西省,张季鸾纪念馆,文化文物系统国有博物馆,未定级,是,255,0,1,0,2.2096
5406,陕西省,张载纪念馆,文化文物系统国有博物馆,未定级,是,15,0,1,7,15.5633
5407,陕西省,长安大学地质博物馆,其他行业国有博物馆,三级,是,3582,0,12,4,0.646
5408,陕西省,长安大学公路交通博物馆,其他行业国有博物馆,三级,是,492,0,3,286,1.4741
5409,陕西省,长武县博物馆,文化文物系统国有博物馆,三级,是,2230,583,8,5,3.2015
5410,陕西省,昭陵博物馆,文化文物系统国有博物馆,二级,否,4563,1938,16,8,16.28
5411,陕西省,镇安县博物馆,文化文物系统国有博物馆,未定级,是,5092,37,2,2,0.86
5412,陕西省,镇巴县博物馆,文化文物系统国有博物馆,未定级,是,1059,14,5,22,1.7725
5413,陕西省,中共中央西北局纪念馆,文化文物系统国有博物馆,未定级,是,4383,63,1,12,21.2522
5414,陕西省,中央红军长征胜利纪念馆,文化文物系统国有博物馆,未定级,是,268,0,1,120,36.166
5415,陕西省,钟山石窟博物馆,文化文物系统国有博物馆,未定级,否,15,6,1,0,1.6266
5416,陕西省,周至博物馆,文化文物系统国有博物馆,未定级,是,2871,437,0,2,0
5417,陕西省,周至县仙游寺博物馆,文化文物系统国有博物馆,未定级,是,258,17,2,8,3.9527
5418,陕西省,子长革命烈士纪念馆,其他行业国有博物馆,未定级,是,37,0,1,6,3.2
5419,陕西省,子洲县博物馆,文化文物系统国有博物馆,未定级,是,1222,132,1,2,0.5
5420,上海市,《义勇军进行曲》灌制地纪念馆（百代小楼）,其他行业国有博物馆,未定级,是,460,0,4,40,16.1563
5421,上海市,陈云纪念馆（青浦革命历史纪念馆）,其他行业国有博物馆,一级,是,44079,32,13,30,61.2798
5422,上海市,大韩民国临时政府旧址管理处,文化文物系统国有博物馆,未定级,否,147,0,2,0,13.5066
5423,上海市,董其昌书画艺术博物馆,文化文物系统国有博物馆,未定级,是,363,0,6,11,8.8528
5424,上海市,复旦大学博物馆,其他行业国有博物馆,未定级,是,4000,0,4,6,20.3257
5425,上海市,高桥历史文化陈列馆,其他行业国有博物馆,未定级,是,600,0,2,3,2.7558
5426,上海市,顾正红纪念馆,文化文物系统国有博物馆,未定级,是,78,0,1,426,18.3066
5427,上海市,国歌展示馆,文化文物系统国有博物馆,未定级,是,895,0,14,155,30.3325
5428,上海市,国际乒乓球联合会博物馆,其他行业国有博物馆,未定级,是,20743,0,5,59,33.9649
5429,上海市,衡复风貌博物馆群,其他行业国有博物馆,未定级,是,20000,0,5,56,30.1471
5430,上海市,黄道婆纪念馆,其他行业国有博物馆,未定级,是,310,0,1,20,2.9021
5431,上海市,黄炎培故居,文化文物系统国有博物馆,未定级,是,1104,6,1,16,14.7423
5432,上海市,嘉定博物馆,文化文物系统国有博物馆,一级,是,5515,1356,20,308,121.0738
5433,上海市,江南造船博物馆,其他行业国有博物馆,未定级,是,172,0,1,5,3.5
5434,上海市,交通银行博物馆,其他行业国有博物馆,未定级,是,10000,0,1,0,0
5435,上海市,李白烈士故居,文化文物系统国有博物馆,未定级,是,15,11,1,20,5.6895
5436,上海市,浦东新区南汇博物馆,文化文物系统国有博物馆,三级,是,3246,0,10,50,18
5437,上海市,钱学森图书馆,其他行业国有博物馆,一级,是,62965,10595,17,196,6.5601
5438,上海市,上海百诺巧克力博物馆,非国有博物馆,未定级,是,300,0,1,600,13.4
5439,上海市,上海宝库匠心博物馆,非国有博物馆,未定级,否,300,0,0,0,0
5440,上海市,上海玻璃博物馆,非国有博物馆,未定级,否,4547,0,10,269,12.6111
5441,上海市,上海博物馆,文化文物系统国有博物馆,一级,是,1024147,145262,39,3018,657.8628
5442,上海市,上海财经大学商学博物馆,其他行业国有博物馆,未定级,是,8596,0,10,24,1.6552
5443,上海市,上海城市规划展示馆,其他行业国有博物馆,未定级,是,0,0,8,393,27.603
5444,上海市,上海崇明竖新抗日战争博物馆,非国有博物馆,未定级,是,575,0,1,2,0.645
5445,上海市,上海崇明向化灶文化博物馆,非国有博物馆,未定级,是,316,0,1,2,0.7431
5446,上海市,上海大来时间博物馆,非国有博物馆,未定级,是,2660,0,3,68,12.9146
5447,上海市,上海大学博物馆,其他行业国有博物馆,一级,是,10714,44,15,215,68.6172
5448,上海市,上海地铁博物馆,其他行业国有博物馆,未定级,否,1650,0,7,29,5.5854
5449,上海市,上海电线电缆博物馆,非国有博物馆,未定级,是,309,0,6,2,2.6995
5450,上海市,上海电信博物馆,其他行业国有博物馆,未定级,是,5653,0,5,14,1.3486
5451,上海市,上海电影博物馆,其他行业国有博物馆,未定级,否,26000,0,3,376,20.0204
5452,上海市,上海东方地质博物馆,非国有博物馆,未定级,否,10393,0,1,356,11.3265
5453,上海市,上海动漫博物馆,非国有博物馆,未定级,是,1800,0,3,12,1.996
5454,上海市,上海对外经贸大学博物馆,其他行业国有博物馆,未定级,是,940,0,2,17,6.877
5455,上海市,上海儿童博物馆,其他行业国有博物馆,二级,是,1722,0,2,408,32.8
5456,上海市,上海纺织博物馆,非国有博物馆,三级,是,23574,0,8,261,13.9412
5457,上海市,上海纺织服饰博物馆,其他行业国有博物馆,未定级,是,3017,0,9,58,3.7805
